minute,participantId,totalGold,level,xp,minionsKilled,jungleMinionsKilled,gameId,queue,teamId,win,champion_name,role,lane,summonerName
39,3,12650,17,16548,36,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
40,3,12880,17,16938,37,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
41,3,13145,17,17787,37,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
42,3,13308,17,17985,37,0,3840383384,5v5 Ranked Flex games,Blue,True,Alistar,DUO_SUPPORT,BOTTOM,SouporSecret
0,7,500,1,0,0,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
1,7,500,1,0,0,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
2,7,522,1,113,0,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
3,7,805,2,375,2,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
4,7,960,3,695,2,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
5,7,1189,3,1060,4,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
6,7,1529,4,1298,8,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
7,7,1691,5,1787,10,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
8,7,1885,5,1877,10,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
9,7,2040,5,1923,10,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
10,7,2264,5,2239,11,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
11,7,2614,6,2780,19,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
12,7,3004,6,2892,20,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
13,7,3314,7,3450,20,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
14,7,3814,7,3820,24,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
15,7,3982,7,3970,26,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
16,7,4540,8,4544,30,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
17,7,4680,8,4593,30,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
18,7,4875,8,4661,32,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
19,7,5211,9,5411,40,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
20,7,5351,9,5659,40,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
21,7,5691,9,5916,40,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
22,7,5876,9,6034,42,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
23,7,6091,10,6646,42,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
24,7,6231,10,6768,42,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
25,7,6422,10,7136,42,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
26,7,6975,11,7963,46,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
27,7,7330,12,8882,50,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
28,7,7651,12,9406,51,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
29,7,7812,12,9902,52,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
30,7,7953,13,9994,52,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
31,7,8115,13,10307,53,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
32,7,8405,13,11170,53,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
33,7,8596,14,11563,53,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
34,7,8736,14,11563,53,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
35,7,9108,14,12280,62,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
36,7,9346,14,12473,67,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
37,7,9632,15,13300,68,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
38,7,10208,15,14589,75,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
39,7,10390,16,14961,78,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
40,7,10740,16,15501,81,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
41,7,10902,16,15672,82,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
42,7,10965,16,16236,82,0,3840383384,5v5 Ranked Flex games,Red,False,Brand,DUO_SUPPORT,BOTTOM,ILikeBoyHole
0,4,500,1,0,0,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
1,4,500,1,0,0,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
2,4,562,1,113,2,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
3,4,846,2,419,11,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
4,4,1134,3,707,18,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
5,4,1839,3,1108,25,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
6,4,2140,4,1269,26,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
7,4,2454,4,1629,34,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
8,4,2898,5,2151,50,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
9,4,3083,6,2446,54,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
10,4,3326,6,2839,58,0,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
11,4,4166,7,3392,63,2,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
12,4,4343,7,3545,63,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
13,4,4719,8,4179,74,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
14,4,5074,8,4974,78,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
15,4,5351,9,5245,84,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
16,4,5841,10,6182,98,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
17,4,7093,10,6893,108,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
18,4,7555,10,7257,111,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
19,4,7732,11,7375,111,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
20,4,8196,11,8096,123,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
21,4,8958,12,8673,125,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
22,4,9670,12,9413,129,4,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
23,4,10482,13,10380,133,8,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
24,4,10654,13,10607,133,8,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
25,4,11136,13,10882,133,8,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
26,4,12187,14,11578,138,12,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
27,4,12471,14,11805,140,12,3840383384,5v5 Ranked Flex games,Blue,True,Draven,DUO_CARRY,BOTTOM,AerialBlast
